S,Year Makes: 134 Models: 902,Nickname,Ordinal,Year,Makes: 134,Models: 902,Special Access,DLC Pack,Special Reward/Gift,Direct Access,Car Value,Rarity,FE Boost,Car Type,Spec,Class,PI,S,H,A,L,B,O,HP,T,Wt,Wt / HP,%,Displ cc,Aspiration,Engine,Cylinders,Eng,Drive,F Tire,R Tire,Track Width,Aero or kit Options,Engine Conversions (hp),Aspiration Options,Naturally Aspirated,Region,Country,Model Family,Open Top,Doors,Steering,Wheels,No lights,Car Themes,0-60 Sec,0-100 Sec,1/4 Mile,Top Speed,60-0 Feet,100-0 Ft,60 mph g's,100mph g's,60-100 sec,MM VIN,FH5 Debut,Forza Debut,Latest game,New to Forza,FH5,FH4,FM7,FH3,FM6,FH2,FM5,FH1,FM4,FM3,FM2,FM1,# Titles,Xbox gen,
FALSE,2017 Abarth 124 Spider,Abarth 124 '17,2740,2017,Abarth,124 Spider,Seasonal,Series 24 cu,,,"250,000",Common,,Modern Sports Cars,Factory,C,562,2.6,3.7,1.7,2.6,2.0,5.1,186,184,2477,13.32,54,1368,T,Inline,4,F,RWD,,205,Both,Forza,300,none,eng,Europe,Italy,,Yes,2,L,4,,SS,6.700,18.800,,143.0,146.0,360.2,0.91,0.93,12.100,12843,07-Sep-23,07-Nov-17,FH5,FM7,cu,FH4,DLC,,,,,,,,,,3,XBO,1
FALSE,2016 Abarth 695 Biposto,Abarth 695 '16,2489,2016,Abarth,695 Biposto,"Backstage, Seasonal",Series 24 cu,,,"250,000",Common,,Hot Hatch,Factory,B,657,4.9,5.3,4.7,4.4,4.8,5.1,186,183,2198,11.82,64,1368,T,Inline,4,F,FWD,,215,Both,Forza,300,none,no,Europe,Italy,,,3,L,4,,,5.655,16.939,,138.6,117.8,292.6,1.05,1.10,11.284,12489,24-Aug-23,02-Aug-16,FH5,FM6,cu,FH4,FM7,FH3,DLC,,,,,,,,5,XBO,1
FALSE,2013 Abarth Punto Supersport,Abarth Punto,,2013,Abarth,Punto Supersport,,,,,,,,Modern Hot Hatch,Factory,D,363,5.0,4.6,6.5,,4.5,,177,199,2612,14.76,60,,T,Inline,4,F,FWD,,,,,,,eng,Europe,Italy,,,3,L,4,,,7.519,18.637,14.950,135.8,146.2,327.4,1.09,1.05,11.118,12086,,04-Feb-14,FM7,FM5,,,FM7,,FM6,FH2,DLC,,,,,,4,XBO,0
FALSE,2010 Abarth 500 esseesse,Fiat Abarth 500,,2010,Abarth,500 esseesse,,,,,,,,Hot Hatch,Factory,C,563,5.0,5.8,6.4,6.7,5.9,,158,169,2050,12.97,65,1368,T,Inline,4,F,FWD,,,,,,,eng,Europe,Italy,,,3,L,4,,,7.417,20.719,,136.4,153.5,393.5,0.80,0.79,13.302,11451,,27-Oct-09,FH3,FM3,,,,FH3,FM6,FH2,FM5,FH1,FM4,FM3,,,7,XBO,0
FALSE,1980 Abarth Fiat 131,Abarth 131,1124,1980,Abarth,Fiat 131,"Backstage, Seasonal",Series 24 cu,,,"250,000",Common,,Classic Rally,Factory,C,510,4.3,4.1,4.1,3.9,3.2,5.9,140,130,2161,15.44,54,1995,NA,Inline,4,F,RWD,,185,Both,Rally lights / roof,"321, 300, 805","T, CS",stock,Europe,Italy,,,2,L,4,,,8.182,23.982,,120.0,155.5,381.3,0.89,0.90,15.800,11452,31-Aug-23,27-Oct-09,FH5,FM3,cu,FH4,FM7,FH3,FM6,FH2,DLC,,FM4,DLC,,,9,XBO,1
FALSE,1968 Abarth 595 esseesse,Abarth 595 '68,2017,1968,Abarth,595 esseesse,Autoshow,Series 24 cu,,,"35,000",Common,,Cult Cars,Factory,D,100,2.6,3.7,1.7,2.6,2.0,5.1,28,34,1257,44.89,42,594,NA,Inline,2,R,RWD,,125,Both,Forza,"158, 196, 300",CS,stock,Europe,Italy,,,2,R,4,,"DvG, mm",28.227,999.999,,73.9,182.3,F,0.73,0.73,971.772,11951,15-Aug-23,23-Oct-12,FH5,FH1,cu,FH4,FM7,FH3,FM6,DLC,,FH1,,,,,7,XBO,1
FALSE,2020 Acura Acura #6 ARX-05 DPi,,,2020,Acura,Acura #6 ARX-05 DPi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.000,13429,,25-Oct-23,FM,FM,,,,,,,,,,,,,0,XBO,0
FALSE,2018 Acura #36 NSX GT3,,,2018,Acura,#36 NSX GT3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.000,13393,,05-Oct-23,FM,FM,,,,,,,,,,,,,0,XBO,0
FALSE,2017 Acura NSX,Acura NSX '17,2352,2017,Acura,NSX,Autoshow,,,,"170,000",Rare,,Modern Supercars,Factory,S1,831,7.0,7.0,9.2,10.0,7.1,4.7,573,623,3803,6.64,42,3493,TT,V,6,M,AWD,,305,Both,Forza,none,none,no,N. America,U.S.,NSX,,2,L,4,,,2.716,6.400,10.517,193.4,87.1,218.8,1.10,1.20,3.684,12631,05-Nov-21,01-Nov-16,FH5,FH3,FH5,FH4,FM7,DLC,,,,,,,,,4,XBO,1
FALSE,2017 Acura NSX Forza Edition,,,2017,Acura,NSX Forza Edition,,,,,,,,Sport GT,Upgraded,S,773,6.8,5.9,8.8,,6.0,,577,623,3801,6.59,42,,TT,V,6,M,AWD,,,,,,,eng,N. America,U.S.,NSX,,2,L,4,,,2.700,6.400,,184.1,128.4,298.6,1.27,1.32,3.700,12751,,29-Sep-17,FM7,FM7,,,FE,,,,,,,,,,1,XBO,0
