"","Year Make Model","Nickname","Ordinal","Votes","Topic","Tags","Link","Year","Make","Model","Special Access","DLC Pack","Car Type","Spec","Class","PI","Aspiration","Engine","Cylinders","Eng","Drive","Region","Country","Model Family","Open Top","Doors","Steering","Wheels","FH5 Debut","Forza Debut","New to Forza","FH5","FH4","FM7","FH3","FM6","FH2","FM5","FH1","FM4","FM3","FM2","FM1","# Titles",""
"FALSE","1932 Ford De Luxe Five-Window Coupe Forza Edition","Ford Coupe FE","2930","16","Ford De Luxe Five-Window Coupe 1932-1932","Ford","https://forums.forza.net/t/-/637504","1932","Ford","De Luxe Five-Window Coupe Forza Edition","DLC promo Autoshow","FH5 Controller","Unlimited Buggies","Factory","A","800","NA","V","8","F","RWD","N. America","U.S.","","","2","L","4","05-Nov-21","05-Nov-21","FH5","DLC","","","","","","","","","","","","1",""
"FALSE","1939 Maserati 8CTF","Maserati 8CTF","2068","13","Maserati 8CTF 1938-1939","Maserati, racing-vehicles","https://forums.forza.net/t/-/572630","1939","Maserati","8CTF","Seasonal","Series 2 cu","Vintage Racers","Race","B","657","PDS","Inline","8","F","RWD","Europe","Italy","","Yes","1","C","4","09-Dec-21","09-Jun-14","FM5","cu","FH4","FM7","","FM6","","DLC","","","","","","5",""
"FALSE","1946 Ford Super Deluxe Station Wagon","Ford Wagon","2504","3","Ford Super Deluxe 1941-1948","Ford","https://forums.forza.net/t/-/637690","1946","Ford","Super Deluxe Station Wagon","Backstage, Seasonal","Series 14 cu","Rods and Customs","Factory","D","124","NA","V","8","F","RWD","N. America","U.S.","","","5","L","4","24-Nov-22","23-Sep-16","FH3","cu","FH4","FM7","FH3","","","","","","","","","4",""
"FALSE","1949 Hot Wheels Ford F-5 Dually Custom Hot Rod","HW Dually '49","3252","","","","","1949","Hot Wheels","Ford F-5 Dually Custom Hot Rod","WS, Seasonal","Series 9 cu","Rods and Customs","Tuner","B","630","T","V","8","F","RWD","N. America","U.S.","","","2","L","4","23-Jun-22","22-Feb-21","FH4","cu","DLC","","","","","","","","","","","2",""
"FALSE","1951 Porsche #46 356 SL Gmund Coupe","Porsche 356 SL","3111","38","Porsche 356 1948-1965 (Race Spec)","fh5-roster, Porsche, racing-vehicles, sportscar-racing, WSC-racing","https://forums.forza.net/t/-/560824","1951","Porsche","#46 356 SL Gmund Coupe","Backstage, Seasonal","Series 26 cu","Classic Racers","Race","D","242","NA","Flat","4","R","RWD","Europe","Germany","","","2","L","4","02-Nov-23","27-Aug-19","FH4","cu","cu","","","","","","","","","","","2",""
"FALSE","1953 Jaguar C-Type","Jaguar C-Type","3097","43","Jaguar C-Type 1951-1953","fh5-roster, Jaguar, racing-vehicles, sportscar-racing, WSC-racing","https://forums.forza.net/t/-/559565","1953","Jaguar","C-Type","Autoshow","Series 28 cu","Classic Racers","Factory","C","599","NA","Inline","6","F","RWD","Europe","U.K.","","Yes","2","R","4","05-Dec-23","29-Nov-18","FH4","cu","DLC","","","","","","","","","","","2",""
"FALSE","1953 Morris Minor Series II Traveler","Morris Traveler","3116","","","","","1953","Morris","Minor Series II Traveler","Seasonal","Series 14 cu","Vans & Utility","Factory","D","100","NA","Inline","4","F","RWD","Europe","U.K.","","","3","R","4","01-Dec-22","13-Dec-18","FH4","cu","DLC","","","","","","","","","","","2",""
"FALSE","1955 Mercedes-Benz 300 SLR","M-B 300 SLR","1559","65","Mercedes 300 SLR Uhlenhaut Coupe 1955 (W196S)","coupes, Mercedes, supercars","https://forums.forza.net/t/-/560113","1955","Mercedes-Benz","300 SLR","Autoshow","Series 11 cu","Classic Racers","Race","A","714","NA","Inline","8","F","RWD","Europe","Germany","","Yes","2","L","4","16-Aug-22","04-Sep-12","FM4","cu","FH4","FM7","","FM6","","","","DLC","","","","5",""
"FALSE","1955 Porsche 550A Spyder","Porsche 550","1281","7","Porsche 550 Spyder 1953-1956","fh5-roster, fm-roster, Porsche, racing-vehicles","https://forums.forza.net/t/-/574353","1955","Porsche","550A Spyder","Backstage, Seasonal","Series 11 cu","Classic Racers","Race","C","513","NA","Flat","4","M","RWD","Europe","Germany","","Yes","2","L","4","18-Aug-22","03-May-05","FM1","cu","FH4","FM7","DLC","DLC","","","","DLC","DLC","","FM1","8",""
"FALSE","1956 Chevrolet Barbie Movie' Corvette EV","Barbie Corvette","3808","","","","","1956","Chevrolet","Barbie Movie' Corvette EV","Autoshow","Series 22 cu","Rods and Customs","Tuner","B","658","E","E","","R","RWD","N. America","U.S.","","Yes","2","L","4","26-Jun-23","26-Jun-23","FH5","cu","","","","","","","","","","","","1",""
