id,year,make,model,car_name,weight,weight_distribution,drive_type,pi_class,default_pi,horsepower,torque,displacement,gear_count,front_tire_width,rear_tire_width,rarity,value,boost,stats
abarth-124-spider-2017,2017,Abarth,124 Spider,2017 Abarth 124 Spider,2477,54,RWD,C,562,186,184,1368,,,205,Common,250000,,"{""speed"":2.6,""handling"":3.7,""acceleration"":1.7,""launch"":2.6,""braking"":2,""offroad"":5.1}"
abarth-695-biposto-2016,2016,Abarth,695 Biposto,2016 Abarth 695 Biposto,2198,64,FWD,B,657,186,183,1368,,,215,Common,250000,,"{""speed"":4.9,""handling"":5.3,""acceleration"":4.7,""launch"":4.4,""braking"":4.8,""offroad"":5.1}"
abarth-punto-supersport-2013,2013,Abarth,Punto Supersport,2013 Abarth Punto Supersport,2612,60,FWD,D,363,177,199,,,,,,,,"{""speed"":5,""handling"":4.6,""acceleration"":6.5,""launch"":"""",""braking"":4.5,""offroad"":""""}"
abarth-500-esseesse-2010,2010,Abarth,500 esseesse,2010 Abarth 500 esseesse,2050,65,FWD,C,563,158,169,1368,,,,,,,"{""speed"":5,""handling"":5.8,""acceleration"":6.4,""launch"":6.7,""braking"":5.9,""offroad"":""""}"
abarth-fiat-131-1980,1980,Abarth,Fiat 131,1980 Abarth Fiat 131,2161,54,RWD,C,510,140,130,1995,,,185,Common,250000,,"{""speed"":4.3,""handling"":4.1,""acceleration"":4.1,""launch"":3.9,""braking"":3.2,""offroad"":5.9}"
abarth-595-esseesse-1968,1968,Abarth,595 esseesse,1968 Abarth 595 esseesse,1257,42,RWD,D,100,28,34,594,,,125,Common,35000,,"{""speed"":2.6,""handling"":3.7,""acceleration"":1.7,""launch"":2.6,""braking"":2,""offroad"":5.1}"
acura-acura-6-arx-05-dpi-2020,2020,Acura,Acura #6 ARX-05 DPi,2020 Acura Acura #6 ARX-05 DPi,,,,,,,,,,,,,,,"{""speed"":"""",""handling"":"""",""acceleration"":"""",""launch"":"""",""braking"":"""",""offroad"":""""}"
acura-36-nsx-gt3-2018,2018,Acura,#36 NSX GT3,2018 Acura #36 NSX GT3,,,,,,,,,,,,,,,"{""speed"":"""",""handling"":"""",""acceleration"":"""",""launch"":"""",""braking"":"""",""offroad"":""""}"
acura-nsx-2017,2017,Acura,NSX,2017 Acura NSX,3803,42,AWD,S1,831,573,623,3493,,,305,Rare,170000,,"{""speed"":7,""handling"":7,""acceleration"":9.2,""launch"":10,""braking"":7.1,""offroad"":4.7}"
acura-nsx-forza-edition-2017,2017,Acura,NSX Forza Edition,2017 Acura NSX Forza Edition,3801,42,AWD,S,773,577,623,,,,,,,,"{""speed"":6.8,""handling"":5.9,""acceleration"":8.8,""launch"":"""",""braking"":6,""offroad"":""""}"
acura-tsx-v6-2010,2010,Acura,TSX V6,2010 Acura TSX V6,3664,,FWD,C,375,280,354,3500,,,,,,,"{""speed"":"""",""handling"":"""",""acceleration"":"""",""launch"":"""",""braking"":"""",""offroad"":""""}"
acura-66-de-ferran-motorsports-arx-02a-2009,2009,Acura,#66 de Ferran Motorsports ARX-02a,2009 Acura #66 de Ferran Motorsports ARX-02a,1984,,RWD,R1,990,625,375,,,,,,,,"{""speed"":"""",""handling"":"""",""acceleration"":"""",""launch"":"""",""braking"":"""",""offroad"":""""}"
acura-66-de-ferran-motorsports-jim-hall-tribute-arx-02a-2009,2009,Acura,#66 de Ferran Motorsports Jim Hall Tribute ARX-02a,2009 Acura #66 de Ferran Motorsports Jim Hall Tribute ARX-02a,1984,,RWD,R1,989,625,375,4000,,,,,,,"{""speed"":"""",""handling"":"""",""acceleration"":"""",""launch"":"""",""braking"":"""",""offroad"":""""}"
acura-15-lowe-s-fernandez-arx-01b-2008,2008,Acura,#15 Lowe's Fernandez ARX-01b,2008 Acura #15 Lowe's Fernandez ARX-01b,1764,,RWD,R1,954,510,284,,,,,,,,"{""speed"":"""",""handling"":"""",""acceleration"":"""",""launch"":"""",""braking"":"""",""offroad"":""""}"
acura-26-andretti-green-racing-arx-01b-2008,2008,Acura,#26 Andretti-Green Racing ARX-01b,2008 Acura #26 Andretti-Green Racing ARX-01b,1764,,RWD,R1,954,510,284,,,,,,,,"{""speed"":8.1,""handling"":9.8,""acceleration"":"""",""launch"":"""",""braking"":"""",""offroad"":""""}"
acura-66-de-ferran-motorsports-arx-01b-2008,2008,Acura,#66 de Ferran Motorsports ARX-01b,2008 Acura #66 de Ferran Motorsports ARX-01b,1764,,RWD,R1,954,510,284,,,,,,,,"{""speed"":"""",""handling"":"""",""acceleration"":"""",""launch"":"""",""braking"":"""",""offroad"":""""}"
acura-rl-a-spec-2006,2006,Acura,RL A-Spec,2006 Acura RL A-Spec,,,AWD,D,399,,,,,,,,,,"{""speed"":"""",""handling"":"""",""acceleration"":"""",""launch"":"""",""braking"":"""",""offroad"":""""}"
acura-forza-motorsport-nsx-2005,2005,Acura,Forza Motorsport NSX,2005 Acura Forza Motorsport NSX,2575,,RWD,R3,711,561,387,,,,,,,,"{""speed"":8.2,""handling"":6.4,""acceleration"":8.1,""launch"":7.7,""braking"":6.4,""offroad"":""""}"
acura-nsx-2005,2005,Acura,NSX,2005 Acura NSX,3100,,RWD,B,476,290,225,3179,,,,,,,"{""speed"":"""",""handling"":"""",""acceleration"":"""",""launch"":"""",""braking"":"""",""offroad"":""""}"
acura-3-2-cl-type-s-2003,2003,Acura,3.2 CL Type-S,2003 Acura 3.2 CL Type-S,3446,62,FWD,D2,,260,232,3200,,,,,,,"{""speed"":5.3,""handling"":4.2,""acceleration"":4.8,""launch"":"""",""braking"":4.1,""offroad"":""""}"
acura-42-realtime-racing-nsx-2002,2002,Acura,#42 Realtime Racing NSX,2002 Acura #42 Realtime Racing NSX,2524,,RWD,S,657,362,269,,,,275,,,,"{""speed"":6.3,""handling"":6.6,""acceleration"":7.3,""launch"":7.4,""braking"":6.6,""offroad"":""""}"
acura-rsx-type-s-2002,2002,Acura,RSX Type-S,2002 Acura RSX Type-S,2820,61,FWD,C,585,200,142,1998,,,205,Common,25000,,"{""speed"":5.6,""handling"":5.1,""acceleration"":3.9,""launch"":3,""braking"":3.5,""offroad"":5.3}"
acura-integra-type-r-2001,2001,Acura,Integra Type-R,2001 Acura Integra Type-R,2639,62,FWD,C,596,195,130,1797,,,195,Common,25000,,"{""speed"":5.6,""handling"":5.1,""acceleration"":3.9,""launch"":3.1,""braking"":3.4,""offroad"":5.1}"
acura-vis-racing-integra-type-r-2000,2000,Acura,VIS Racing Integra Type-R,2000 Acura VIS Racing Integra Type-R,2425,62,FWD,C,507,225,145,,,,,,,,"{""speed"":"""",""handling"":"""",""acceleration"":"""",""launch"":"""",""braking"":"""",""offroad"":""""}"
acura-nsx-1997,1997,Acura,NSX,1997 Acura NSX,2998,,RWD,B,471,276,224,3200,,,,,,,"{""speed"":"""",""handling"":"""",""acceleration"":"""",""launch"":"""",""braking"":"""",""offroad"":""""}"
alejandra-s-flatbed-truck-2020,2020,Alejandra's,Flatbed Truck,2020 Alejandra's Flatbed Truck,,,,,,,,,,,,,,,"{""speed"":"""",""handling"":"""",""acceleration"":"""",""launch"":"""",""braking"":"""",""offroad"":""""}"
alfa-romeo-stelvio-quadrifoglio-2018,2018,Alfa Romeo,Stelvio Quadrifoglio,2018 Alfa Romeo Stelvio Quadrifoglio,4361,50,AWD,A,752,506,442,2891,,,285,Common,80000,,"{""speed"":7.2,""handling"":5.9,""acceleration"":9,""launch"":10,""braking"":6.3,""offroad"":""""}"
alfa-romeo-giulia-quadrifoglio-2017,2017,Alfa Romeo,Giulia Quadrifoglio,2017 Alfa Romeo Giulia Quadrifoglio,3822,50,RWD,A,775,506,442,2891,,,285,Rare,120000,,"{""speed"":7.3,""handling"":6.4,""acceleration"":5.9,""launch"":4.9,""braking"":6.7,""offroad"":5}"
alfa-romeo-giulia-quadrifoglio-forza-edition-2016,2016,Alfa Romeo,Giulia Quadrifoglio Forza Edition,2016 Alfa Romeo Giulia Quadrifoglio Forza Edition,3822,50,RWD,S1,812,506,442,2891,,,285,FE,370000,Event Influence,"{""speed"":7.7,""handling"":7.5,""acceleration"":7.3,""launch"":8.9,""braking"":8.1,""offroad"":""""}"
alfa-romeo-4c-2014,2014,Alfa Romeo,4C,2014 Alfa Romeo 4C,2077,41,RWD,A,755,240,238,1742,,,235,Rare,250000,,"{""speed"":5.9,""handling"":5.7,""acceleration"":4.8,""launch"":7,""braking"":5.2,""offroad"":5}"
alfa-romeo-giulietta-quadrifoglio-verde-2011,2011,Alfa Romeo,Giulietta Quadrifoglio Verde,2011 Alfa Romeo Giulietta Quadrifoglio Verde,2910,63,FWD,D,391,231,251,1742,,,225,,,,"{""speed"":5.7,""handling"":4.5,""acceleration"":6.7,""launch"":"""",""braking"":4.2,""offroad"":""""}"
alfa-romeo-tz3-stradale-zagato-2011,2011,Alfa Romeo,TZ3 Stradale Zagato,2011 Alfa Romeo TZ3 Stradale Zagato,3190,,RWD,S,664,640,584,8400,,,,,,,"{""speed"":"""",""handling"":"""",""acceleration"":"""",""launch"":"""",""braking"":"""",""offroad"":""""}"
alfa-romeo-8c-spider-2010,2010,Alfa Romeo,8C Spider,2010 Alfa Romeo 8C Spider,3695,,RWD,A,556,450,354,,,,,,,,"{""speed"":"""",""handling"":"""",""acceleration"":"""",""launch"":"""",""braking"":"""",""offroad"":""""}"
alfa-romeo-brera-italia-independent-2009,2009,Alfa Romeo,Brera Italia Independent,2009 Alfa Romeo Brera Italia Independent,3594,,AWD,D,347,256,237,,,,,,,,"{""speed"":"""",""handling"":"""",""acceleration"":"""",""launch"":"""",""braking"":"""",""offroad"":""""}"
alfa-romeo-mito-2008,2008,Alfa Romeo,MiTo,2008 Alfa Romeo MiTo,2524,,FWD,D,292,153,169,,,,,,,,"{""speed"":"""",""handling"":"""",""acceleration"":"""",""launch"":"""",""braking"":"""",""offroad"":""""}"
alfa-romeo-8c-competizione-2007,2007,Alfa Romeo,8C Competizione,2007 Alfa Romeo 8C Competizione,3495,49,RWD,A,755,450,354,4691,,,285,Epic,300000,,"{""speed"":7,""handling"":5.3,""acceleration"":5.4,""launch"":5.5,""braking"":4.9,""offroad"":5.2}"
alfa-romeo-8c-competizione-forza-edition-2007,2007,Alfa Romeo,8C Competizione Forza Edition,2007 Alfa Romeo 8C Competizione Forza Edition,3086,49,RWD,S1,855,450,354,4691,,,285,FE,550000,Credits,"{""speed"":7.5,""handling"":8.4,""acceleration"":8,""launch"":9.4,""braking"":8.6,""offroad"":""""}"
alfa-romeo-155-q4-1992,1992,Alfa Romeo,155 Q4 ,1992 Alfa Romeo 155 Q4 ,3064,61,AWD,C,561,187,219,1995,,,205,Common,250000,,"{""speed"":5.4,""handling"":4.4,""acceleration"":4,""launch"":4.3,""braking"":2.9,""offroad"":5.7}"
alfa-romeo-milano-quadrifoglio-verde-1992,1992,Alfa Romeo,Milano Quadrifoglio Verde,1992 Alfa Romeo Milano Quadrifoglio Verde,2866,51,RWD,E,291,185,181,2959,,,,,,,"{""speed"":5.1,""handling"":4,""acceleration"":6,""launch"":"""",""braking"":3.9,""offroad"":""""}"
